source_path,label,url,note
assignments/optional/1/options/0,PyTorch version,https://github.com/SmoothKen/ucsd-cse-153R-github-pages/blob/master/homework/jazz_transformer_pytorch_ver.ipynb,
assignments/optional/1/options/1,TensorFlow/Keras version,https://github.com/SmoothKen/ucsd-cse-153R-github-pages/blob/master/homework/jazz_transformer_tensorflow_ver.ipynb,
assignments/optional/2,Diffusion/Style Transfer,https://github.com/SmoothKen/ucsd-cse-153R-github-pages/blob/master/homework/diffusion_student_ver/diffusion_updated.ipynb,
assignments/optional/3,Improvisation Voice Agent,https://github.com/SmoothKen/ucsd-cse-153R-github-pages/blob/master/homework/voice_agents_student_ver/submission.py,
assignments/project,Final Project,https://drive.google.com/file/d/1ILRju3uoe4Rf_vzHJU2KE4lX8fJ_3gHE/view?usp=sharing,
resources/0,Deep & Shallow: Machine Learning in Music and Audio,https://www.routledge.com/Deep-and-Shallow-Machine-Learning-in-Music-and-Audio/Dubnov-Greer/p/book/9781032133911,
resources/1,Music Information Retrieval,https://musicinformationretrieval.com/,
resources/2,Audio Content Analysis,https://www.audiocontentanalysis.org/,
resources/3,Course Readings,https://drive.google.com/drive/folders/1g6625TkfabNHLzVNYzeKsRAyxsJS9kD1?usp=sharing,
resources/4,Course Videos playlist,https://youtube.com/playlist?list=PLgYzBgzekNBXMhJXv4ln9QcauHtnKK82o,
resources/5,Past Project Presentations: Day 1,https://ucsd.zoom.us/rec/share/FQW0eWQOfC5dL0P0gFvQYEEJ7w6pWKZhlbqGMF0LrQ5CFzO-9TS3l11rYhnZL4BU.9RsRtw4UsiLBFDPk?startTime=1630465481000,pw: mlmusic1!
resources/6,Past Project Presentations: Day 2,https://ucsd.zoom.us/rec/share/WQOcJugBO0ANd3mmJ4UIOyo5yUnL27CVhOwvJgcRCrF0iELZZwZgDN7Cdr9aMIrn.p8N2nfX_BukwiNsS?startTime=1630552034000,pw: mlmusic1!
fun_resources/0,Nvidia / AVIA music making workshop,https://www.nvidia.com/en-us/on-demand/session/gtcspring21-se2345/,
fun_resources/1,AWS DeepComposer,https://aws.amazon.com/deepcomposer/,
fun_resources/2,Google Magenta,https://research.google/teams/brain/magenta/,
fun_resources/3,FB Universal Music Translation Network,https://research.fb.com/publications/a-universal-music-translation-network/,
fun_resources/4,IRCAM OMax Project,https://recherche.ircam.fr/equipes/repmus/OMax/,
